,File,Analysis,Decoded State (Start),Decoded State (Stop),Transition Direction,Change Point Time (s),Counts (Mean),Counts (Variance),Counts (Sum),Counts (Min),Counts (Max),Duration (Number of Bins),Duration (us),Coefficient of Dispersion,Sample Size Error (%),Number of Bead States,Input Bead Arrival Rate (/s),Input Probability Stay Background,Input Bead Transit Time (us),Input Probability Stay Bead,Bin Width (s),Input lambda0 (/s),Input lambda1 (/s),h_i,h_d
50,med,HMMViterbi,1,3,1.0,0.061938999999999994,1.7777777777777777,1.7124183006535947,32.0,0.0,5.0,18.0,18.0,0.9632352941176471,23.57022603955158,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
51,med,HMMViterbi,0,0,-1.0,0.061957,0.23142912848508482,0.23835679104684176,1187.0,0.0,3.0,5129.0,5129.0,1.0299342723498326,1.3963157940958377,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
52,med,HMMViterbi,1,3,1.0,0.06708599999999999,1.173913043478261,0.9683794466403163,27.0,0.0,3.0,23.0,23.0,0.8249158249158249,20.851441405707476,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
53,med,HMMViterbi,0,0,-1.0,0.067109,0.13793103448275862,0.1231527093596059,4.0,0.0,1.0,29.0,29.0,0.8928571428571428,18.569533817705185,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
54,med,HMMViterbi,1,3,1.0,0.067138,1.2,1.333333333333333,30.0,0.0,4.0,25.0,24.999999999999996,1.111111111111111,20.0,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
55,med,HMMViterbi,0,0,-1.0,0.067163,0.2446726572528883,0.25522007129892077,953.0,0.0,4.0,3895.0,3895.0,1.043108266221717,1.602308988614113,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
56,med,HMMViterbi,1,3,1.0,0.071058,1.5625,2.129166666666667,25.0,0.0,5.0,16.0,16.0,1.3626666666666667,25.0,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
57,med,HMMViterbi,0,0,-1.0,0.071074,0.2556818181818182,0.24213286713286714,90.0,0.0,3.0,352.0,352.0,0.9470085470085471,5.330017908890261,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
58,med,HMMViterbi,1,3,1.0,0.071426,2.4375,3.0625,39.0,0.0,6.0,16.0,16.0,1.2564102564102564,25.0,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
59,med,HMMViterbi,0,0,-1.0,0.07144199999999999,0.2580896686159844,0.26019681722941435,662.0,0.0,4.0,2565.0,2565.0,1.008164405126054,1.9744962591969746,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
60,med,HMMViterbi,1,3,1.0,0.074007,1.4166666666666667,1.3560606060606057,17.0,0.0,4.0,12.0,12.0,0.9572192513368981,28.867513459481287,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
61,med,HMMViterbi,0,0,-1.0,0.074019,0.22822822822822822,0.2308875140200442,76.0,0.0,3.0,333.0,332.99999999999994,1.011651870640457,5.479966243511909,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
